from,to
N07 N18 G N05 S29,N07 N18 G N05 S29 G N11
N07 N18 G N06 N14,N07 N18 G N06 N14 G S23
N07 N18 G N08 S29,N07 N18 G N08 S29 G N16
N07 N18 G N09 N16,N07 N18 G N09 N16 G S33
N07 N18 G N10 N16,N07 N18 G N10 N16 G S27
N07 N18 G N11 N16,N07 N18 G N11 N16 G S35
N07 N18 G N12 N16,N07 N18 G N12 N16 G S33
N07 N18 G N13 N12,N07 N18 G N13 N12 G N38
N07 N18 G N14 N38,N07 N18 G N14 N38 G N27
N07 N18 G N15 S29,N07 N18 G N15 S29 G N27
N07 N18 G N16 S29,N07 N18 G N16 S29 G N11
N07 N18 G N17 S29,N07 N18 G N17 S29 G N11
N07 N18 G N18+ N14,N07 N18 G N18+ N14 G S21
N07 N18 G N19 S29,N07 N18 G N19 S29 G N07
N07 N18 G N20 N14,N07 N18 G N20 N14 G S23
N07 N18 G N21 S32,N07 N18 G N21 S32 G N16
N07 N18 G N22 N38,N07 N18 G N22 N38 G S10
N07 N18 G N23 N38,N07 N18 G N23 N38 G S09
N07 N18 G N24 S29,N07 N18 G N24 S29 G S09
N07 N18 G N25 N14,N07 N18 G N25 N14 G S25
N07 N18 G N26 N14,N07 N18 G N26 N14 G S08
N07 N18 G N27 N14,N07 N18 G N27 N14 G S34
N07 N18 G N28 N14,N07 N18 G N28 N14 G S23
N07 N18 G N29 N16,N07 N18 G N29 N16 G S24
N07 N18 G N30 N14,N07 N18 G N30 N14 G S29
N07 N18 G N31 N38,N07 N18 G N31 N38 G N11
N07 N18 G N32 S29,N07 N18 G N32 S29 G S39
N07 N18 G N33 S29,N07 N18 G N33 S29 G N13
N07 N18 G N34 S29,N07 N18 G N34 S29 G S05
N07 N18 G N35 S29,N07 N18 G N35 S29 G S02
N07 N18 G N36 S29,N07 N18 G N36 S29 G S02
N07 N18 G N37 N14,N07 N18 G N37 N14 G S30
N07 N18 G N38 N14,N07 N18 G N38 N14 G S21
N07 N18 G N39 N16,N07 N18 G N39 N16 G S33
N07 N18 G N40 N16,N07 N18 G N40 N16 G S33
N07 N18 G S01 N38,N07 N18 G S01 N38 G N35
N07 N18 G S02 N16,N07 N18 G S02 N16 G N36
N07 N18 G S03 N14,N07 N18 G S03 N14 G S30
N07 N18 G S04 N38,N07 N18 G S04 N38 G S25
N07 N18 G S05 N14,N07 N18 G S05 N14 G S24
N07 N18 G S06 N14,N07 N18 G S06 N14 G S24
N07 N18 G S07 N38,N07 N18 G S07 N38 G N35
N07 N18 G S08 S19,N07 N18 G S08 S19 G N31
N07 N18 G S09 S04,N07 N18 G S09 S04 G S32
N07 N18 G S10 N14,N07 N18 G S10 N14 G S27
N07 N18 G S11 N14,N07 N18 G S11 N14 G S05
N07 N18 G S12 N16,N07 N18 G S12 N16 G S34
N07 N18 G S13 S29,N07 N18 G S13 S29 G N12
N07 N18 G S14 N38,N07 N18 G S14 N38 G S25
N07 N18 G S15 S29,N07 N18 G S15 S29 G N11
N07 N18 G S16 S29,N07 N18 G S16 S29 G N11
N07 N18 G S17 S29,N07 N18 G S17 S29 G S25
N07 N18 G S18 N14,N07 N18 G S18 N14 G S23
N07 N18 G S19 N14,N07 N18 G S19 N14 G S23
N07 N18 G S20 N14,N07 N18 G S20 N14 G S23
N07 N18 G S21 S29,N07 N18 G S21 S29 G N34
N07 N18 G S22 S29,N07 N18 G S22 S29 G N35
N07 N18 G S23 S39,N07 N18 G S23 S39 G S03
N07 N18 G S24 N29,N07 N18 G S24 N29 G S06
N07 N18 G S25 N14,N07 N18 G S25 N14 G S21
N07 N18 G S26 N14,N07 N18 G S26 N14 G S21
N07 N18 G S27 N14,N07 N18 G S27 N14 G S32
N07 N18 G S28 N14,N07 N18 G S28 N14 G S40
N07 N18 G S29 N16,N07 N18 G S29 N16 G S34
N07 N18 G S30 S31,N07 N18 G S30 S31 G N13
N07 N18 G S31 N38,N07 N18 G S31 N38 G N27
N07 N18 G S32 N38,N07 N18 G S32 N38 G S10
N07 N18 G S33 S29,N07 N18 G S33 S29 G N12
N07 N18 G S34 S29,N07 N18 G S34 S29 G N11
N07 N18 G S35 S29,N07 N18 G S35 S29 G N13
N07 N18 G S36 N14,N07 N18 G S36 N14 G S22
N07 N18 G S37 N14,N07 N18 G S37 N14 G S24
N07 N18 G S38 N14,N07 N18 G S38 N14 G S23
N07 N18 G S39 N14,N07 N18 G S39 N14 G S24
N07 N18 G S40 S29,N07 N18 G S40 S29 G N16
N07 N19 G N01 S28,N07 N19 G N01 S28 G N04
N07 N19 G N02 N11,N07 N19 G N02 N11 G N39
N07 N19 G N03 N04,N07 N19 G N03 N04 G S15
N07 N19 G N04 S28,N07 N19 G N04 S28 G N13
N07 N19 G N05 S28,N07 N19 G N05 S28 G N03
N07 N19 G N06 N39,N07 N19 G N06 N39 G N17
N07 N19 G N08 N37,N07 N19 G N08 N37 G N31
N07 N19 G N09 N04,N07 N19 G N09 N04 G S32
N07 N19 G N10 N04,N07 N19 G N10 N04 G S33
N07 N19 G N11 N04,N07 N19 G N11 N04 G S33
N07 N19 G N12 N04,N07 N19 G N12 N04 G N34
N07 N19 G N13 N04,N07 N19 G N13 N04 G N34
N07 N19 G N14 N39,N07 N19 G N14 N39 G N27
N07 N19 G N15 N39,N07 N19 G N15 N39 G N27
N07 N19 G N16 N14,N07 N19 G N16 N14 G N37
N07 N19 G N17 N14,N07 N19 G N17 N14 G S06
N07 N19 G N18 N14,N07 N19 G N18 N14 G N07
N07 N19 G N19+ N39,N07 N19 G N19+ N39 G N27
N07 N19 G N20 S31,N07 N19 G N20 S31 G N04
N07 N19 G N21 S32,N07 N19 G N21 S32 G N04
N07 N19 G N22 N39,N07 N19 G N22 N39 G N27
N07 N19 G N23 N39,N07 N19 G N23 N39 G N11
N07 N19 G N24 S30,N07 N19 G N24 S30 G N13
N07 N19 G N25 N12,N07 N19 G N25 N12 G N39
N07 N19 G N26 N13,N07 N19 G N26 N13 G S21
N07 N19 G N27 N13,N07 N19 G N27 N13 G S30
N07 N19 G N28 N13,N07 N19 G N28 N13 G S15
N07 N19 G N29 N04,N07 N19 G N29 N04 G N34
N07 N19 G N30 N15,N07 N19 G N30 N15 G S28
N07 N19 G N31 N39,N07 N19 G N31 N39 G N27
N07 N19 G N32 S39,N07 N19 G N32 S39 G S30
N07 N19 G N33 N30,N07 N19 G N33 N30 G N39
N07 N19 G N34 N30,N07 N19 G N34 N30 G S01
N07 N19 G N35 S29,N07 N19 G N35 S29 G S08
N07 N19 G N36 N13,N07 N19 G N36 N13 G S32
N07 N19 G N37 N15,N07 N19 G N37 N15 G S26
N07 N19 G N38 N15,N07 N19 G N38 N15 G S04
N07 N19 G N39 N15,N07 N19 G N39 N15 G S32
N07 N19 G N40 N39,N07 N19 G N40 N39 G N17
N07 N19 G S01 S28,N07 N19 G S01 S28 G N34
N07 N19 G S02 N04,N07 N19 G S02 N04 G N32
N07 N19 G S03 S28,N07 N19 G S03 S28 G N15
N07 N19 G S04 S28,N07 N19 G S04 S28 G N15
N07 N19 G S05 S28,N07 N19 G S05 S28 G N34
N07 N19 G S06 N15,N07 N19 G S06 N15 G S26
N07 N19 G S07 N37,N07 N19 G S07 N37 G N15
N07 N19 G S08 S20,N07 N19 G S08 S20 G N15
N07 N19 G S09 S19,N07 N19 G S09 S19 G N15
N07 N19 G S10 N04,N07 N19 G S10 N04 G S33
N07 N19 G S11 N04,N07 N19 G S11 N04 G S33
N07 N19 G S12 N04,N07 N19 G S12 N04 G S33
N07 N19 G S13 S28,N07 N19 G S13 S28 G N15
N07 N19 G S14 N39,N07 N19 G S14 N39 G S26
N07 N19 G S15 S28,N07 N19 G S15 S28 G N21
N07 N19 G S16 S30,N07 N19 G S16 S30 G N11
N07 N19 G S17 S31,N07 N19 G S17 S31 G S10
N07 N19 G S18 S30,N07 N19 G S18 S30 G S10
N07 N19 G S19 S30,N07 N19 G S19 S30 G S10
N07 N19 G S20 N15,N07 N19 G S20 N15 G S28
N07 N19 G S21 N15,N07 N19 G S21 N15 G S09
N07 N19 G S22 N39,N07 N19 G S22 N39 G N11
N07 N19 G S23 S20,N07 N19 G S23 S20 G N15
N07 N19 G S24 S19,N07 N19 G S24 S19 G N31
N07 N19 G S25 S19,N07 N19 G S25 S19 G S34
N07 N19 G S26 N15,N07 N19 G S26 N15 G N37
N07 N19 G S27 S13,N07 N19 G S27 S13 G S06
N07 N19 G S28 N15,N07 N19 G S28 N15 G S19
N07 N19 G S29 N15,N07 N19 G S29 N15 G S05
N07 N19 G S30 N39,N07 N19 G S30 N39 G S26
N07 N19 G S31 N39,N07 N19 G S31 N39 G S26
N07 N19 G S32 N39,N07 N19 G S32 N39 G S11
N07 N19 G S33 N39,N07 N19 G S33 N39 G N27
N07 N19 G S34 S30,N07 N19 G S34 S30 G N11
N07 N19 G S35 S30,N07 N19 G S35 S30 G N12
N07 N19 G S36 N29,N07 N19 G S36 N29 G S06
N07 N19 G S37 N13,N07 N19 G S37 N13 G S32
N07 N19 G S38 N15,N07 N19 G S38 N15 G S28
N07 N19 G S39 N14,N07 N19 G S39 N14 G S09
N07 N19 G S40 N15,N07 N19 G S40 N15 G S08
N07 N20 G N01 N40,N07 N20 G N01 N40 G S10
N07 N20 G N02 N01,N07 N20 G N02 N01 G S31
N07 N20 G N03 N40,N07 N20 G N03 N40 G N12
N07 N20 G N04 S31,N07 N20 G N04 S31 G N13
N07 N20 G N05 N40,N07 N20 G N05 N40 G N12
N07 N20 G N06 N18,N07 N20 G N06 N18 G S12
N07 N20 G N08 N40,N07 N20 G N08 N40 G N13
N07 N20 G N09 N08,N07 N20 G N09 N08 G N18
N07 N20 G N10 N16,N07 N20 G N10 N16 G N40
N07 N20 G N11 N16,N07 N20 G N11 N16 G S22
N07 N20 G N12 N16,N07 N20 G N12 N16 G S34
N07 N20 G N13 N18,N07 N20 G N13 N18 G S35
N07 N20 G N14 N18,N07 N20 G N14 N18 G S35
N07 N20 G N15 N18,N07 N20 G N15 N18 G S11
N07 N20 G N16 N14,N07 N20 G N16 N14 G N40
N07 N20 G N17 N14,N07 N20 G N17 N14 G S32
N07 N20 G N18 S31,N07 N20 G N18 S31 G N13
N07 N20 G N19 N15,N07 N20 G N19 N15 G N38
N07 N20 G N20+ N18,N07 N20 G N20+ N18 G S30
N07 N20 G N21 N18,N07 N20 G N21 N18 G S32
N07 N20 G N22 N18,N07 N20 G N22 N18 G S36
N07 N20 G N23 N22,N07 N20 G N23 N22 G S13
N07 N20 G N24 N40,N07 N20 G N24 N40 G S10
N07 N20 G N25 N40,N07 N20 G N25 N40 G N12
N07 N20 G N26 S31,N07 N20 G N26 S31 G S02
N07 N20 G N27 N16,N07 N20 G N27 N16 G S23
N07 N20 G N28 N16,N07 N20 G N28 N16 G S22
N07 N20 G N29 N16,N07 N20 G N29 N16 G S23
N07 N20 G N30 N16,N07 N20 G N30 N16 G S23
N07 N20 G N31 N18,N07 N20 G N31 N18 G S25
N07 N20 G N32 N18,N07 N20 G N32 N18 G S25
N07 N20 G N33 N18,N07 N20 G N33 N18 G S24
N07 N20 G N34 S31,N07 N20 G N34 S31 G N13
N07 N20 G N35 S31,N07 N20 G N35 S31 G N13
N07 N20 G N36 S31,N07 N20 G N36 S31 G S02
N07 N20 G N37 S31,N07 N20 G N37 S31 G S02
N07 N20 G N38 S31,N07 N20 G N38 S31 G S02
N07 N20 G N39 S30,N07 N20 G N39 S30 G N35
N07 N20 G N40 N18,N07 N20 G N40 N18 G S29
N07 N20 G S01 N16,N07 N20 G S01 N16 G N40
N07 N20 G S02 N16,N07 N20 G S02 N16 G N40
N07 N20 G S03 N16,N07 N20 G S03 N16 G S23
N07 N20 G S04 N40,N07 N20 G S04 N40 G N13
N07 N20 G S05 S29,N07 N20 G S05 S29 G N18
N07 N20 G S06 N16,N07 N20 G S06 N16 G S25
N07 N20 G S07 N18,N07 N20 G S07 N18 G S29
N07 N20 G S08 S31,N07 N20 G S08 S31 G S01
N07 N20 G S09 S03,N07 N20 G S09 S03 G N40
N07 N20 G S10 N16,N07 N20 G S10 N16 G S21
N07 N20 G S11 N14,N07 N20 G S11 N14 G N40
N07 N20 G S12 N16,N07 N20 G S12 N16 G S23
N07 N20 G S13 N16,N07 N20 G S13 N16 G S34
N07 N20 G S14 N18,N07 N20 G S14 N18 G S39
N07 N20 G S15 N40,N07 N20 G S15 N40 G S13
N07 N20 G S16 N40,N07 N20 G S16 N40 G S11
N07 N20 G S17 S31,N07 N20 G S17 S31 G S02
N07 N20 G S18 S31,N07 N20 G S18 S31 G S10
N07 N20 G S19 S31,N07 N20 G S19 S31 G S10
N07 N20 G S20 S31,N07 N20 G S20 S31 G S10
N07 N20 G S21 N18,N07 N20 G S21 N18 G S09
N07 N20 G S22 N18,N07 N20 G S22 N18 G S09
N07 N20 G S23 S31,N07 N20 G S23 S31 G N18
N07 N20 G S24 S31,N07 N20 G S24 S31 G S02
N07 N20 G S25 S31,N07 N20 G S25 S31 G S01
N07 N20 G S26 S31,N07 N20 G S26 S31 G S02
N07 N20 G S27 N14,N07 N20 G S27 N14 G S32
N07 N20 G S28 N14,N07 N20 G S28 N14 G S23
N07 N20 G S29 N16,N07 N20 G S29 N16 G S34
N07 N20 G S30 N18,N07 N20 G S30 N18 G S36
N07 N20 G S31 N18,N07 N20 G S31 N18 G S34
N07 N20 G S32 N18,N07 N20 G S32 N18 G S36
N07 N20 G S33 N40,N07 N20 G S33 N40 G N29
N07 N20 G S34 N40,N07 N20 G S34 N40 G N12
N07 N20 G S35 S31,N07 N20 G S35 S31 G N13
N07 N20 G S36 S31,N07 N20 G S36 S31 G N16
N07 N20 G S37 S31,N07 N20 G S37 S31 G S02
N07 N20 G S38 N16,N07 N20 G S38 N16 G S24
N07 N20 G S39 N15,N07 N20 G S39 N15 G S09
N07 N20 G S40 N16,N07 N20 G S40 N16 G S24
N07 N21 G N01 N39,N07 N21 G N01 N39 G S25
N07 N21 G N02 N19,N07 N21 G N02 N19 G S34
N07 N21 G N03 N39,N07 N21 G N03 N39 G S10
N07 N21 G N04 N39,N07 N21 G N04 N39 G N11
N07 N21 G N05 N19,N07 N21 G N05 N19 G S34
N07 N21 G N06 S32,N07 N21 G N06 S32 G S28
N07 N21 G N08 N39,N07 N21 G N08 N39 G S10
N07 N21 G N09 N08,N07 N21 G N09 N08 G S32
N07 N21 G N10 S34,N07 N21 G N10 S34 G S03
N07 N21 G N11 S34,N07 N21 G N11 S34 G S05
N07 N21 G N12 S34,N07 N21 G N12 S34 G S05
N07 N21 G N13 N37,N07 N21 G N13 N37 G S09
N07 N21 G N14 N37,N07 N21 G N14 N37 G S09
N07 N21 G N15 N37,N07 N21 G N15 N37 G N26
N07 N21 G N16 N39,N07 N21 G N16 N39 G S11
N07 N21 G N17 N39,N07 N21 G N17 N39 G N28
N07 N21 G N18 S32,N07 N21 G N18 S32 G N16
N07 N21 G N19 S32,N07 N21 G N19 S32 G N17
N07 N21 G N20 S32,N07 N21 G N20 S32 G N18
N07 N21 G N21+ S32,N07 N21 G N21+ S32 G S27
N07 N21 G N22 S35,N07 N21 G N22 S35 G N32
N07 N21 G N23 N39,N07 N21 G N23 N39 G N25
N07 N21 G N24 N39,N07 N21 G N24 N39 G N26
N07 N21 G N25 N26,N07 N21 G N25 N26 G N39
N07 N21 G N26 S32,N07 N21 G N26 S32 G S05
N07 N21 G N27 S34,N07 N21 G N27 S34 G S20
N07 N21 G N28 S34,N07 N21 G N28 S34 G N16
N07 N21 G N29 S34,N07 N21 G N29 S34 G N16
N07 N21 G N30 S36,N07 N21 G N30 S36 G S05
N07 N21 G N31 N37,N07 N21 G N31 N37 G S09
N07 N21 G N32 N37,N07 N21 G N32 N37 G S09
N07 N21 G N33 N37,N07 N21 G N33 N37 G S11
N07 N21 G N34 N39,N07 N21 G N34 N39 G N26
N07 N21 G N35 N39,N07 N21 G N35 N39 G S26
N07 N21 G N36 S32,N07 N21 G N36 S32 G N15
N07 N21 G N37 S32,N07 N21 G N37 S32 G S40
N07 N21 G N38 S34,N07 N21 G N38 S34 G N16
N07 N21 G N39 S32,N07 N21 G N39 S32 G N37
N07 N21 G N40 N38,N07 N21 G N40 N38 G S32
N07 N21 G S01 N39,N07 N21 G S01 N39 G S10
N07 N21 G S02 S07,N07 N21 G S02 S07 G N35
N07 N21 G S03 N37,N07 N21 G S03 N37 G S08
N07 N21 G S04 N37,N07 N21 G S04 N37 G S09
N07 N21 G S05 N37,N07 N21 G S05 N37 G S32
N07 N21 G S06 S34,N07 N21 G S06 S34 G S03
N07 N21 G S07 S34,N07 N21 G S07 S34 G S02
N07 N21 G S08 S34,N07 N21 G S08 S34 G N39
N07 N21 G S09 S34,N07 N21 G S09 S34 G N39
N07 N21 G S10 S34,N07 N21 G S10 S34 G S20
N07 N21 G S11 S23,N07 N21 G S11 S23 G N16
N07 N21 G S12 S36,N07 N21 G S12 S36 G S06
N07 N21 G S13 N37,N07 N21 G S13 N37 G S09
N07 N21 G S14 N37,N07 N21 G S14 N37 G S09
N07 N21 G S15 N37,N07 N21 G S15 N37 G N27
N07 N21 G S16 N37,N07 N21 G S16 N37 G S09
N07 N21 G S17 S32,N07 N21 G S17 S32 G N35
N07 N21 G S18 S32,N07 N21 G S18 S32 G S03
N07 N21 G S19 S32,N07 N21 G S19 S32 G S11
N07 N21 G S20 S34,N07 N21 G S20 S34 G S05
N07 N21 G S21 S34,N07 N21 G S21 S34 G N18
N07 N21 G S22 N37,N07 N21 G S22 N37 G S10
N07 N21 G S23 N37,N07 N21 G S23 N37 G S11
N07 N21 G S24 N39,N07 N21 G S24 N39 G S11
N07 N21 G S25 S34,N07 N21 G S25 S34 G N16
N07 N21 G S26 S34,N07 N21 G S26 S34 G N15
N07 N21 G S27 S34,N07 N21 G S27 S34 G N16
N07 N21 G S28 S34,N07 N21 G S28 S34 G S05
N07 N21 G S29 S34,N07 N21 G S29 S34 G S05
N07 N21 G S30 N37,N07 N21 G S30 N37 G S09
N07 N21 G S31 N37,N07 N21 G S31 N37 G N27
N07 N21 G S32 N37,N07 N21 G S32 N37 G N26
N07 N21 G S33 N37,N07 N21 G S33 N37 G N26
N07 N21 G S34 N39,N07 N21 G S34 N39 G S11
N07 N21 G S35 S32,N07 N21 G S35 S32 G N15
N07 N21 G S36 S34,N07 N21 G S36 S34 G S18
N07 N21 G S37 S34,N07 N21 G S37 S34 G S04
N07 N21 G S38 S34,N07 N21 G S38 S34 G S04
N07 N21 G S39 S34,N07 N21 G S39 S34 G S04
N07 N21 G S40 S34,N07 N21 G S40 S34 G S04
N07 N22 G N01 S29,N07 N22 G N01 S29 G S33
N07 N22 G N02 N24,N07 N22 G N02 N24 G N18
N07 N22 G N03 N26,N07 N22 G N03 N26 G N40
N07 N22 G N04 N38,N07 N22 G N04 N38 G S33
N07 N22 G N05 N40,N07 N22 G N05 N40 G N11
N07 N22 G N06 N40,N07 N22 G N06 N40 G S33
N07 N22 G N08 N24,N07 N22 G N08 N24 G S31
N07 N22 G N09 N11,N07 N22 G N09 N11 G S29
N07 N22 G N10 N24,N07 N22 G N10 N24 G S04
N07 N22 G N11 N24,N07 N22 G N11 N24 G N17
N07 N22 G N12 N24,N07 N22 G N12 N24 G N17
N07 N22 G N13 N26,N07 N22 G N13 N26 G N18
N07 N22 G N14 N26,N07 N22 G N14 N26 G S20
N07 N22 G N15 N38,N07 N22 G N15 N38 G N12
N07 N22 G N16 N38,N07 N22 G N16 N38 G N11
N07 N22 G N17 N40,N07 N22 G N17 N40 G S13
N07 N22 G N18 N40,N07 N22 G N18 N40 G S11
N07 N22 G N19 N40,N07 N22 G N19 N40 G S10
N07 N22 G N20 N18,N07 N22 G N20 N18 G N24
N07 N22 G N21 S35,N07 N22 G N21 S35 G N39
N07 N22 G N22+ N40,N07 N22 G N22+ N40 G N11
N07 N22 G N23 N27,N07 N22 G N23 N27 G N40
N07 N22 G N24 S29,N07 N22 G N24 S29 G N26
N07 N22 G N25 N27,N07 N22 G N25 N27 G N40
N07 N22 G N26 N24,N07 N22 G N26 N24 G S16
N07 N22 G N27 N24,N07 N22 G N27 N24 G S16
N07 N22 G N28 N24,N07 N22 G N28 N24 G S16
N07 N22 G N29 N26,N07 N22 G N29 N26 G N38
N07 N22 G N30 S35,N07 N22 G N30 S35 G S29
N07 N22 G N31 N26,N07 N22 G N31 N26 G S19
N07 N22 G N32 N28,N07 N22 G N32 N28 G N38
N07 N22 G N33 N37,N07 N22 G N33 N37 G S10
N07 N22 G N34 S29,N07 N22 G N34 S29 G S35
N07 N22 G N35 N38,N07 N22 G N35 N38 G S13
N07 N22 G N36 N40,N07 N22 G N36 N40 G S13
N07 N22 G N37 N40,N07 N22 G N37 N40 G S13
N07 N22 G N38 N40,N07 N22 G N38 N40 G S13
N07 N22 G N39 N37,N07 N22 G N39 N37 G N24
N07 N22 G N40 S35,N07 N22 G N40 S35 G N38
N07 N22 G S01 N40,N07 N22 G S01 N40 G S33
N07 N22 G S02 S23,N07 N22 G S02 S23 G S29
N07 N22 G S03 S23,N07 N22 G S03 S23 G N16
N07 N22 G S04 S06,N07 N22 G S04 S06 G N12
N07 N22 G S05 N40,N07 N22 G S05 N40 G S16
N07 N22 G S06 S35,N07 N22 G S06 S35 G S31
N07 N22 G S07 N40,N07 N22 G S07 N40 G S33
N07 N22 G S08 N40,N07 N22 G S08 N40 G S33
N07 N22 G S09 S29,N07 N22 G S09 S29 G S35
N07 N22 G S10 N24,N07 N22 G S10 N24 G N15
N07 N22 G S11 N24,N07 N22 G S11 N24 G S18
N07 N22 G S12 N24,N07 N22 G S12 N24 G N17
N07 N22 G S13 N24,N07 N22 G S13 N24 G N17
N07 N22 G S14 N26,N07 N22 G S14 N26 G S05
N07 N22 G S15 N37,N07 N22 G S15 N37 G S09
N07 N22 G S16 N37,N07 N22 G S16 N37 G S23
N07 N22 G S17 N40,N07 N22 G S17 N40 G N12
N07 N22 G S18 N40,N07 N22 G S18 N40 G N31
N07 N22 G S19 N40,N07 N22 G S19 N40 G N14
N07 N22 G S20 S35,N07 N22 G S20 S35 G S29
N07 N22 G S21 S35,N07 N22 G S21 S35 G S13
N07 N22 G S22 S29,N07 N22 G S22 S29 G S35
N07 N22 G S23 N38,N07 N22 G S23 N38 G S13
N07 N22 G S24 S29,N07 N22 G S24 S29 G S35
N07 N22 G S25 S29,N07 N22 G S25 S29 G S01
N07 N22 G S26 S29,N07 N22 G S26 S29 G S35
N07 N22 G S27 N24,N07 N22 G S27 N24 G N17
N07 N22 G S28 S35,N07 N22 G S28 S35 G S26
N07 N22 G S29 S35,N07 N22 G S29 S35 G S23
N07 N22 G S30 S28,N07 N22 G S30 S28 G N26
N07 N22 G S31 S36,N07 N22 G S31 S36 G N07
N07 N22 G S32 S28,N07 N22 G S32 S28 G N07
N07 N22 G S33 S29,N07 N22 G S33 S29 G S16
N07 N22 G S34 S29,N07 N22 G S34 S29 G S17
N07 N22 G S35 N28,N07 N22 G S35 N28 G N40
N07 N22 G S36 N40,N07 N22 G S36 N40 G N12
N07 N22 G S37 N40,N07 N22 G S37 N40 G N12
N07 N22 G S38 S35,N07 N22 G S38 S35 G S29
N07 N22 G S39 S35,N07 N22 G S39 S35 G S29
N07 N22 G S40 S35,N07 N22 G S40 S35 G S13
N07 N23 G N01 N25,N07 N23 G N01 N25 G S39
N07 N23 G N02 N10,N07 N23 G N02 N10 G S39
N07 N23 G N03 N25,N07 N23 G N03 N25 G N18
N07 N23 G N04 N25,N07 N23 G N04 N25 G N37
N07 N23 G N05 N10,N07 N23 G N05 N10 G S40
N07 N23 G N06 S32,N07 N23 G N06 S32 G N25
N07 N23 G N08 S30,N07 N23 G N08 S30 G N13
N07 N23 G N09 S32,N07 N23 G N09 S32 G N11
N07 N23 G N10 S32,N07 N23 G N10 S32 G N12
N07 N23 G N11 S32,N07 N23 G N11 S32 G N13
N07 N23 G N12 N25,N07 N23 G N12 N25 G N37
N07 N23 G N13 N25,N07 N23 G N13 N25 G N37
N07 N23 G N14 N27,N07 N23 G N14 N27 G S19
N07 N23 G N15 N27,N07 N23 G N15 N27 G S19
N07 N23 G N16 N27,N07 N23 G N16 N27 G S19
N07 N23 G N17 S30,N07 N23 G N17 S30 G S02
N07 N23 G N18 S30,N07 N23 G N18 S30 G S02
N07 N23 G N19 S30,N07 N23 G N19 S30 G N25
N07 N23 G N20 N06,N07 N23 G N20 N06 G N25
N07 N23 G N21 N25,N07 N23 G N21 N25 G N39
N07 N23 G N22 N27,N07 N23 G N22 N27 G N40
N07 N23 G N23+ S32,N07 N23 G N23+ S32 G N26
N07 N23 G N24 N26,N07 N23 G N24 N26 G S14
N07 N23 G N25 S32,N07 N23 G N25 S32 G S36
N07 N23 G N26 S30,N07 N23 G N26 S30 G N14
N07 N23 G N27 S32,N07 N23 G N27 S32 G N31
N07 N23 G N28 S32,N07 N23 G N28 S32 G N32
N07 N23 G N29 N25,N07 N23 G N29 N25 G S38
N07 N23 G N30 N27,N07 N23 G N30 N27 G S19
N07 N23 G N31 N27,N07 N23 G N31 N27 G S19
N07 N23 G N32 N27,N07 N23 G N32 N27 G S20
N07 N23 G N33 N27,N07 N23 G N33 N27 G S19
N07 N23 G N34 S28,N07 N23 G N34 S28 G N11
N07 N23 G N35 S30,N07 N23 G N35 S30 G N11
N07 N23 G N36 S30,N07 N23 G N36 S30 G S03
N07 N23 G N37 S30,N07 N23 G N37 S30 G S03
N07 N23 G N38 S32,N07 N23 G N38 S32 G S05
N07 N23 G N39 N38,N07 N23 G N39 N38 G N25
N07 N23 G N40 N25,N07 N23 G N40 N25 G N38
N07 N23 G S01 N27,N07 N23 G S01 N27 G S06
N07 N23 G S02 N27,N07 N23 G S02 N27 G S32
N07 N23 G S03 N27,N07 N23 G S03 N27 G S39
N07 N23 G S04 N27,N07 N23 G S04 N27 G S06
N07 N23 G S05 S22,N07 N23 G S05 S22 G N16
N07 N23 G S06 S30,N07 N23 G S06 S30 G S34
N07 N23 G S07 N27,N07 N23 G S07 N27 G S16
N07 N23 G S08 S30,N07 N23 G S08 S30 G S04
N07 N23 G S09 S32,N07 N23 G S09 S32 G S05
N07 N23 G S10 S32,N07 N23 G S10 S32 G S18
N07 N23 G S11 S32,N07 N23 G S11 S32 G S04
N07 N23 G S12 S32,N07 N23 G S12 S32 G S04
N07 N23 G S13 N27,N07 N23 G S13 N27 G S39
N07 N23 G S14 N27,N07 N23 G S14 N27 G S20
N07 N23 G S15 N27,N07 N23 G S15 N27 G S20
N07 N23 G S16 N27,N07 N23 G S16 N27 G S20
N07 N23 G S17 S30,N07 N23 G S17 S30 G S04
N07 N23 G S18 S30,N07 N23 G S18 S30 G S02
N07 N23 G S19 S30,N07 N23 G S19 S30 G S09
N07 N23 G S20 S30,N07 N23 G S20 S30 G N11
N07 N23 G S21 N27,N07 N23 G S21 N27 G S18
N07 N23 G S22 N27,N07 N23 G S22 N27 G S18
N07 N23 G S23 S30,N07 N23 G S23 S30 G S03
N07 N23 G S24 S30,N07 N23 G S24 S30 G S04
N07 N23 G S25 S30,N07 N23 G S25 S30 G N13
N07 N23 G S26 S30,N07 N23 G S26 S30 G S03
N07 N23 G S27 S30,N07 N23 G S27 S30 G S03
N07 N23 G S28 S32,N07 N23 G S28 S32 G N14
N07 N23 G S29 S32,N07 N23 G S29 S32 G N28
N07 N23 G S30 N25,N07 N23 G S30 N25 G N37
N07 N23 G S31 N27,N07 N23 G S31 N27 G N38
N07 N23 G S32 N27,N07 N23 G S32 N27 G N37
N07 N23 G S33 N27,N07 N23 G S33 N27 G S19
N07 N23 G S34 N27,N07 N23 G S34 N27 G S20
N07 N23 G S35 S30,N07 N23 G S35 S30 G S03
N07 N23 G S36 S30,N07 N23 G S36 S30 G N13
